Route #,Green @ Commons,Seneca @ Commons,Arrive at TCAT Garage
ERROR,ERROR,ERROR,ERROR
ERROR,24:44:00,24:46:00,24:58:00
ERROR,13:19:00,13:21:00,13:33:00
ERROR,ERROR,17:38:00,17:50:00
ERROR,ERROR,17:56:00,18:08:00
ERROR,ERROR,18:18:00,18:30:00
ERROR,ERROR,18:26:00,18:38:00
ERROR,18:29:00,18:31:00,18:43:00
ERROR,18:49:00,18:51:00,19:03:00
ERROR,ERROR,18:56:00,19:08:00
ERROR,18:55:00,18:57:00,19:09:00
ERROR,ERROR,19:28:00,19:40:00
ERROR,ERROR,1:22,1:34
